№,Страна,Население,Дата,% от населения Земли,Источник
1,Индия,1 433 165 000,5 декабря 2024,17.55%,Счётчик[1]
2,Китай,1 409 670 000,1 января 2024,17.26%,Оценка[2]
3,США[Комм. 1],334 233 854,1 января 2023,4.09%,Оценка[3]
4,Индонезия,274 900 000,1 декабря 2022,3.52%,Оценка[4]
5,Пакистан,241 499 431,1 марта 2023,2.96%,Перепись[5]
6,Нигерия,226 826 390,5 декабря 2024,2.79%,Счётчик[6]
7,Бразилия,203 080 756,1 августа 2022,2.49%,Перепись[7]
8,Бангладеш,169 828 911,15 июня 2022,2.08%,Перепись[8]
9,Россия[Комм. 2],146 150 789,1 января 2024,1.79%,Оценка[9]
10,Мексика,133 649 565,1 января 2021,1.63%,Перепись[10]
11,Япония,123 890 000,1 июня 2024,1.52%,Оценка[11]
12,Эфиопия,118 550 298,1 января 2024,1.45%,Оценка[12]
13,Филиппины,115 335 302,5 декабря 2024,1.41%,Счётчик[13]
14,Демократическая Республика Конго,108 407 721,1 июля 2022,1.33%,Оценка[14]
15,Египет,105 914 499,1 января 2024,1.3%,Оценка[15]
16,Вьетнам,100 309 200,2023,1.23%,Оценка[16]
17,Турция[Комм. 3],85 279 553,31 декабря 2022,1.04%,Оценка[17]
18,Иран,85 000 000,16 мая 2023,1.04%,Оценка[18]
19,Германия,84 669 326,31 декабря 2023,1.04%,Оценка[19]
20,Таиланд,69 895 155,5 декабря 2024,0.86%,Счётчик[22]
21,Великобритания,67 647 112,1 января 2021,0.82%,Оценка[21]
22,Франция[Комм. 4],66 150 000,1 февраля 2024,0.81%,Оценка[20]
23,ЮАР,61 956 900,1 июля 2021,0.76%,Оценка[23]
24,Танзания,61 741 120,23 августа 2022,0.76%,Перепись[24]
25,Италия,58 966 453,31 марта 2024,0.72%,Оценка[25]
26,Кения,57 564 296,25 августа 2021,0.7%,Перепись[29]
27,Мьянма,54 045 000,1 июля 2019,0.66%,Оценка[26]
28,Республика Корея,51 780 579,1 января 2020,0.63%,Оценка[27]
29,Колумбия,49 258 494,30 октября 2018,0.6%,Перепись[28]
30,Судан,49 214 450,5 декабря 2024,0.6%,Счётчик[33]
31,Испания,46 934 632,1 января 2021,0.57%,Оценка[30]
32,Алжир,46 653 000,1 июля 2021,0.57%,Оценка[26]
33,Аргентина,46 082 160,18 мая 2022,0.56%,Перепись[31]
34,Уганда,45 935 046,10 мая 2024,0.56%,Перепись[32]
35,Ирак,41 310 000,1 июля 2019,0.51%,Оценка[26]
36,Украина[Комм. 5],41 167 300,1 января 2022,0.5%,Оценка[34]
37,Канада,41 012 563,1 апреля 2024,0.5%,Оценка[35]
38,Марокко,37 953 770,5 декабря 2024,0.46%,Счётчик[37]
39,Польша,37 749 000,1 января 2023,0.46%,Оценка[36]
40,Узбекистан,37 507 599,5 декабря 2024,0.46%,Счётчик[38]
41,Малайзия,35 171 085,5 декабря 2024,0.43%,Счётчик[39]
42,Ангола,34 825 000,1 июля 2019,0.43%,Оценка[26]
43,Венесуэла,34 568 000,5 декабря 2024,0.42%,Счётчик[40]
44,Афганистан,34 262 840,1 апреля 2022,0.42%,Оценка[41]
45,Саудовская Аравия,32 175 224,10 мая 2022,0.39%,Перепись[42]
46,Перу,32 162 184,1 декабря 2018,0.39%,Оценка[43]
47,Гана,31 418 000,1 июля 2019,0.38%,Оценка[26]
48,Мозамбик,31 366 000,1 июля 2019,0.38%,Оценка[26]
49,Йемен,31 162 000,1 июля 2019,0.38%,Оценка[26]
50,Непал,29 164 578,25 ноября 2021,0.36%,Перепись[44]
51,Мадагаскар,28 680 342,1 июня 2018,0.35%,Перепись[45]
52,Кот-д’Ивуар,27 717 000,1 июля 2019,0.34%,Оценка[26]
53,Австралия[Комм. 6],26 966 789,31 декабря 2023,0.33%,Оценка[46]
54,Камерун,26 348 251,1 июля 2021,0.32%,Оценка[47]
55,КНДР,25 666 000,1 июля 2019,0.31%,Оценка[26]
56,Нигер,25 314 743,1 июля 2021,0.31%,Оценка[49]
57,Китайская Республика (Тайвань)[Комм. 7],23 782 448,1 апреля 2018,0.29%,Оценка[48]
58,Буркина-Фасо,22 870 060,1 июля 2021,0.28%,Оценка[50]
59,Мали,22 395 489,15 июня 2022,0.27%,Перепись[51]
60,Шри-Ланка,21 803 000,1 июля 2019,0.26%,Оценка[52]
61,Чили,20 273 315,5 декабря 2024,0.24%,Счётчик[56]
62,Казахстан,20 182 003,1 августа 2024,0.25%,Оценка[53]
63,Замбия,19 610 769,18 августа 2022,0.24%,Перепись[54]
64,Румыния,19 053 815,1 февраля 2021,0.23%,Перепись[55]
65,Малави,18 563 749,3 сентября 2018,0.23%,Перепись[58]
66,Эквадор,18 487 430,5 декабря 2024,0.23%,Счётчик[59]
67,Сенегал,18 126 390,15 мая 2023,0.22%,Перепись[60]
68,Нидерланды,17 967 505,30 апреля 2024,0.22%,Оценка[61]
69,Гватемала,17 679 735,1 июля 2019,0.22%,Оценка[57]
70,Сирия,17 070 000,1 июля 2019,0.21%,Оценка[26]
71,Чад,15 948 000,1 июля 2019,0.2%,Оценка[26]
72,Сомали[Комм. 8],15 443 000,1 июля 2019,0.19%,Оценка[26]
73,Камбоджа,15 288 489,3 марта 2019,0.19%,Перепись[62]
74,Зимбабве,15 178 979,20 апреля 2022,0.19%,Перепись[63]
75,Руанда,13 798 561,1 января 2024,0.17%,Оценка[64]
76,Гвинея,12 771 000,1 июля 2019,0.16%,Оценка[26]
77,Бельгия,11 823 056,1 апреля 2024,0.14%,Оценка[65]
78,Тунис,11 658 341,1 июля 2019,0.14%,Оценка[66]
79,Боливия,11 469 896,1 июля 2019,0.14%,Оценка[67]
80,Иордания,11 437 585,5 декабря 2024,0.14%,Счётчик[69]
81,Куба,11 333 000,1 июля 2019,0.14%,Оценка[26]
82,Бурунди,11 215 578,1 января 2020,0.14%,Оценка[68]
83,Южный Судан,11 062 000,1 июля 2019,0.14%,Оценка[26]
84,Гаити,10 911 819,1 января 2015,0.13%,Оценка[70]
85,Доминиканская Республика,10 760 028,10 ноября 2022,0.13%,Перепись[71]
86,Швеция,10 548 461,30 апреля 2024,0.13%,Оценка[72]
87,Чехия,10 524 167,27 марта 2021,0.13%,Перепись[73]
88,Греция,10 482 487,23 ноября 2021,0.13%,Перепись[74]
89,Португалия,10 347 892,7 июля 2021,0.13%,Перепись[77]
90,Бенин,10 315 244,1 июля 2015,0.13%,Оценка[75]
91,Азербайджан,10 119 100,1 января 2021,0.12%,Оценка[76]
92,Таджикистан,9 886 800,1 января 2022,0.12%,Оценка[82]
93,ОАЭ,9 771 000,1 июля 2019,0.12%,Оценка[26]
94,Венгрия,9 604 000,1 октября 2022,0.12%,Перепись[78]
95,Белоруссия,9 255 524,1 января 2022,0.11%,Оценка[79]
96,Гондурас,9 158 345,1 июля 2019,0.11%,Оценка[80]
97,Израиль,9 136 000,1 января 2020,0.11%,Оценка[81]
98,Австрия,8 915 382,1 июля 2020,0.11%,Оценка[83]
99,Папуа — Новая Гвинея,8 776 000,1 июля 2019,0.11%,Оценка[26]
100,Швейцария,8 570 146,1 июля 2019,0.1%,Оценка[84]
101,Того,8 095 498,8 ноября 2022,0.099%,Перепись[85]
102,Сьерра-Леоне,7 813 000,1 июля 2019,0.096%,Оценка[26]
103,Гонконг,7 524 100,1 июля 2019,0.092%,Оценка[86]
104,Парагвай,7 152 703,1 июля 2019,0.088%,Оценка[87]
105,Лаос,7 123 205,1 июля 2019,0.087%,Оценка[88]
106,Туркменистан,7 057 841,17 декабря 2022,0.086%,Перепись[89]
107,Кыргызстан,7 037 600,1 января 2023,0.081%,Оценка[92]
108,Болгария,6 951 482,1 января 2020,0.085%,Оценка[90]
109,Сербия[Комм. 9],6 926 705,1 января 2020,0.085%,Оценка[91]
110,Ливан,6 856 000,1 июля 2019,0.084%,Оценка[26]
111,Ливия,6 777 000,1 июля 2019,0.083%,Оценка[26]
112,Сальвадор,6 454 000,1 июля 2019,0.079%,Оценка[26]
113,Никарагуа,6 198 154,1 июля 2014,0.076%,Оценка[93][94]
114,Республика Конго,6 142 180,17 мая 2023,0.075%,Перепись[95]
115,Дания[Комм. 10],5 962 689,1 февраля 2024,0.073%,Оценка[96]
116,Сингапур,5 703 600,1 июля 2019,0.07%,Оценка[97]
117,Норвегия,5 550 203,1 октября 2023,0.068%,Оценка[100]
118,Финляндия[98],5 526 774,1 марта 2020,0.068%,Оценка[99]
119,Словакия,5 422 620,31 марта 2024,0.066%,Оценка[101]
120,Новая Зеландия,5 338 900,31 марта 2024,0.065%,Оценка[102]
121,Либерия,5 248 621,10 ноября 2022,0.064%,Перепись[103]
122,Коста-Рика,4 953 199,1 января 2018,0.061%,Оценка[104]
123,Мавритания,4 927 532,25 декабря 2023,0.06%,Перепись[105]
124,Ирландия,4 921 500,1 апреля 2019,0.06%,Оценка[106]
125,Государство Палестина[107],4 816 503,1 июля 2016,0.059%,Оценка[108]
126,ЦАР,4 745 000,1 июля 2019,0.058%,Оценка[26]
127,Кувейт,4 207 000,1 июля 2019,0.052%,Оценка[26]
128,Оман,4 088 690,10 декабря 2014,0.05%,Оценка[109]
129,Хорватия,4 076 246,1 января 2019,0.05%,Оценка[21]
130,Панама,3 764 166,1 июля 2015,0.046%,Оценка[110]
131,Грузия[Комм. 11],3 736 400,1 января 2023,0.046%,Оценка[111]
132,Эритрея,3 497 000,1 июля 2019,0.043%,Оценка[26]
133,Монголия,3 457 548,31 декабря 2022,0.042%,Оценка[115]
134,Уругвай,3 444 263,27 ноября 2023,0.042%,Перепись[112]
135,Босния и Герцеговина[Комм. 12],3 434 000,1 июня 2022,0.042%,Оценка[113]
136,Пуэрто-Рико (США),3 411 307,1 июля 2016,0.042%,Оценка[114]
137,Намибия,3 022 401,24 сентября 2023,0.037%,Перепись[116]
138,Катар,2 965 952,31 декабря 2023,0.036%,Оценка[117]
139,Армения,2 962 100,1 апреля 2019,0.036%,Оценка[118]
140,Литва,2 891 215,1 июня 2024,0.035%,Оценка[119]
141,Албания,2 845 955,1 января 2020,0.035%,Оценка[120]
142,Ямайка,2 726 667,1 января 2019,0.033%,Оценка[121]
143,Молдавия[Комм. 13],2 423 300,1 января 2024,0.03%,Оценка[122]
144,Гамбия,2 348 000,1 июля 2019,0.029%,Оценка[26]
145,Ботсвана,2 304 000,1 июля 2019,0.028%,Оценка[26]
146,Габон,2 173 000,1 июля 2019,0.027%,Оценка[26]
147,Словения,2 123 103,1 октября 2023,0.026%,Оценка[123]
148,Северная Македония,2 077 132,1 января 2019,0.025%,Оценка[124]
149,Лесото,2 007 201,10 апреля 2016,0.025%,Перепись[125]
150,Гвинея-Бисау,1 921 000,1 июля 2019,0.024%,Оценка[26]
151,Республика Косово[126],1 907 592,1 января 2018,0.02%,Оценка[127]
152,Латвия,1 862 700,1 мая 2024,0.023%,Оценка[128]
153,Бахрейн,1 451 200,1 июля 2017,0.018%,Оценка[129]
154,Тринидад и Тобаго,1 395 000,1 июля 2019,0.017%,Оценка[26]
155,Эстония,1 374 687,1 января 2024,0.017%,Оценка[130]
156,Экваториальная Гвинея,1 356 000,1 июля 2019,0.017%,Оценка[26]
157,Маврикий[131],1 261 208,1 июля 2014,0.015%,Оценка[132]
158,Восточный Тимор,1 212 107,1 июля 2014,0.015%,Оценка[133]
159,Эсватини,1 148 000,1 июля 2019,0.014%,Оценка[26]
160,Джибути,974 000,1 июля 2019,0.012%,Оценка[26]
161,Кипр[Комм. 14],923 272,1 октября 2021,0.011%,Перепись[134]
162,Фиджи,890 000,1 июля 2019,0.011%,Оценка[26]
163,Реюньон (Франция),844 994,1 января 2014,0.01%,Оценка[135]
164,Коморы[136],806 153,1 июля 2016,0.01%,Оценка[137]
165,Гайана,801 623,1 июля 2015,0.01%,Оценка[138]
166,Бутан,763 000,1 июля 2019,0.009%,Оценка[26]
167,Макао,686 400,31 марта 2024,0.008%,Оценка[139]
168,Соломоновы Острова,670 000,1 июля 2019,0.008%,Оценка[26]
169,Черногория,622 218,1 января 2016,0.008%,Оценка[140]
170,Люксембург,613 894,1 января 2019,0.008%,Оценка[21]
171,САДР[126],582 000,1 июля 2019,0.007%,Оценка[26]
172,Суринам,581 000,1 июля 2019,0.007%,Оценка[26]
173,Кабо-Верде,550 000,1 июля 2019,0.007%,Оценка[26]
174,Мальта,493 559,1 января 2019,0.006%,Оценка[21]
175,Приднестровье[141],467 400,1 января 2019,0.006%,Оценка[142]
176,Бруней,433 000,1 июля 2019,0.005%,Оценка[26]
177,Гваделупа (Франция),403 750,1 января 2014,0.005%,Оценка[143]
178,Мальдивы,402 071,20 сентября 2014,0.005%,Перепись[144]
179,Багамские Острова,389 000,1 июля 2019,0.005%,Оценка[26]
180,Белиз,387 879,1 июня 2017,0.005%,Оценка[146]
181,Мартиника (Франция),381 326,1 января 2014,0.005%,Оценка[145]
182,Исландия,356 991,1 января 2019,0.004%,Оценка[21]
183,Северный Кипр[126],313 626,1 января 2015,0.004%,Оценка[147]
184,Вануату,300 000,1 июля 2019,0.004%,Оценка[26]
185,Гвиана (Франция),296 711,1 января 2019,0.004%,Оценка[148]
186,Барбадос,287 000,1 июля 2019,0.004%,Оценка[26]
187,Французская Полинезия (Франция),281 674,1 января 2018,0.003%,Оценка[149]
188,Новая Каледония (Франция),268 767,26 августа 2014,0.003%,Перепись[150]
189,Майотта (Франция),266 000,1 июля 2019,0.003%,Оценка[26]
190,Республика Абхазия[126],243 564,1 января 2016,0.003%,Оценка[151]
191,Сан-Томе и Принсипи,215 000,1 июля 2019,0.003%,Оценка[26]
192,Самоа,197 000,1 июля 2019,0.002%,Оценка[26]
193,Сент-Люсия,183 000,1 июля 2019,0.002%,Оценка[26]
194,Гуам (США),167 000,1 июля 2019,0.002%,Оценка[26]
195,Кюрасао (Нид.),158 986,1 июля 2014,0.002%,Оценка[152]
196,Кирибати,118 000,1 июля 2019,0.001%,Оценка[26]
197,Микронезия,114 000,1 июля 2019,0.001%,Оценка[26]
198,Гренада,112 000,1 июля 2019,0.001%,Оценка[26]
199,Сент-Винсент и Гренадины,111 000,1 июля 2019,0.001%,Оценка[26]
200,Аруба (Нид.),106 000,1 июля 2019,0.001%,Оценка[26]
201,Джерси (Брит.),105 500,1 января 2018,0.001%,Оценка[153]
202,Виргинские Острова (США),105 000,1 июля 2019,0.001%,Оценка[26]
203,Тонга,100 651,30 ноября 2016,0.001%,Перепись[154]
204,Сейшельские Острова,98 000,1 июля 2019,0.001%,Оценка[26]
205,Антигуа и Барбуда,97 000,1 июля 2019,0.001%,Оценка[26]
206,Остров Мэн (Брит.),83 314,24 апреля 2016,0.001%,Перепись[155]
207,Андорра,76 177,1 января 2019,0.0009%,Оценка[21]
208,Доминика,72 000,1 июля 2019,0.0009%,Оценка[26]
209,Гернси (Брит.),63 026,1 июля 2016,0.0008%,Оценка[156]
210,Бермуды (Брит.),61 662,1 июля 2019,0.0008%,Оценка[26]
211,Острова Кайман (Брит.),60 764,1 июля 2019,0.0007%,Оценка[26]
212,Гренландия (Дания),56 196,1 июля 2019,0.0007%,Оценка[26]
213,Сент-Китс и Невис,56 183,1 июля 2019,0.0007%,Оценка[26]
214,Американское Самоа (США),55 602,1 июля 2019,0.0007%,Оценка[26]
215,Северные Марианские Острова (США),55 389,1 июля 2019,0.0007%,Оценка[26]
216,Фарерские острова (Дания),54 683,1 мая 2024,0.0007%,Оценка[157]
217,Южная Осетия[126],53 532,15 октября 2015,0.0007%,Перепись[158]
218,Маршалловы Острова,53 069,1 июля 2019,0.0006%,Оценка[26]
219,Лихтенштейн,38 378,1 января 2019,0.0005%,Оценка[21]
220,Монако,38 300,1 января 2019,0.0005%,Оценка[21]
221,Синт-Мартен (Нид.),37 224,1 февраля 2014,0.0005%,Оценка[159]
222,Сен-Мартен (Франция),36 457,1 января 2013,0.0004%,Оценка[160]
223,Теркс и Кайкос (Брит.),34 904,1 июля 2019,0.0004%,Оценка[26]
224,Виргинские острова (Брит.),34 492,1 июля 2019,0.0004%,Оценка[26]
225,Сан-Марино,33 925,1 апреля 2024,0.0004%,Оценка[161]
226,Гибралтар (Брит.),33 573,1 января 2016,0.0004%,Оценка[162]
227,"Бонайре, Синт-Эстатиус и Саба (Нид.)",25 052,1 января 2018,0.0003%,Оценка[163]
228,Палау,21 507,1 июля 2019,0.0003%,Оценка[26]
229,Острова Кука (Нов. Зел.),17 325,1 июля 2019,0.0002%,Оценка[26]
230,Сен-Бартелеми (Франция),16 183,1 января 2013,0.0002%,Оценка[164]
231,Ангилья (Брит.),15 800,1 июля 2019,0.0002%,Оценка[26]
232,Науру,11 086,1 июля 2019,0.0001%,Оценка[26]
233,Тувалу,10 927,1 июля 2019,0.0001%,Оценка[26]
234,Уоллис и Футуна (Франция),10 445,1 июля 2019,0.0001%,Оценка[26]
235,Остров Святой Елены (Брит.),8987,1 июля 2019,0.0001%,Оценка[26]
236,Сен-Пьер и Микелон (Франция),6301,1 июля 2019,0.0001%,Оценка[26]
237,Монтсеррат (Брит.),4294,1 июля 2024,0.0001%,Оценка[165]
238,Фолклендские острова[166] (Брит.),3380,1 июля 2019,0.00004 %,Оценка[26]
239,Ниуэ (Нов. Зел.),1618,1 июля 2019,0.00002 %,Оценка[26]
240,Токелау (Нов. Зел.),1499,18 октября 2016,0.00002 %,Перепись[167]
241,Ватикан,861,1 января 2019,0.00001 %,Оценка[168]
